age,education_level,career_field,main_sector,employer_type,contract_type,weekly_hours,residence,province,monthly_income_rwf
30,Upper secondary education,Agriculture,Agriculture,Private business or VUP,Oral agreement,36.0,Rural,Eastern Province,39000.0
29,Lower secondary education,Agriculture,Agriculture,Private business or VUP,Oral agreement,77.0,Rural,Eastern Province,39000.0
28,Primary education,Agriculture,Agriculture,Private business or VUP,Oral agreement,35.0,Urban,Eastern Province,52000.0
19,Lower secondary education,Elementary and other work,Services,Household,Oral agreement,54.0,Urban,Eastern Province,20000.0
19,Primary education,Agriculture,Agriculture,Private business or VUP,Oral agreement,56.0,Urban,Eastern Province,30000.0
16,Primary education,Elementary and other work,Services,Private business or VUP,Oral agreement,30.0,Urban,Kigali city,13000.0
20,Lower secondary education,Elementary and other work,Services,Household,Oral agreement,70.0,Urban,Kigali city,20000.0
22,Primary education,Elementary and other work,Services,Household,Oral agreement,40.0,Urban,Kigali city,20000.0
27,Primary education,Agriculture,Agriculture,Private business or VUP,Oral agreement,36.0,Urban,Kigali city,26000.0
21,Primary education,Agriculture,Agriculture,Private business or VUP,Oral agreement,43.0,Rural,Kigali city,39000.0
20,Lower secondary education,Elementary and other work,Industry,Private business or VUP,Oral agreement,48.0,Rural,Kigali city,60000.0
21,Lower secondary education,Elementary and other work,Services,Household,Oral agreement,50.0,Urban,Kigali city,25000.0
22,Upper secondary education,Sales and services,Services,Private business or VUP,Oral agreement,54.0,Urban,Kigali city,100000.0
23,Upper secondary education,Skilled trades and operators,Services,Private business or VUP,Oral agreement,27.0,Urban,Kigali city,182000.0
17,Primary education,Elementary and other work,Services,Household,Oral agreement,50.0,Urban,Kigali city,25000.0
23,Upper secondary education,Skilled trades and operators,Industry,NGO or international organisation,Written contract,60.0,Urban,Kigali city,125000.0
29,Primary education,Skilled trades and operators,Services,Private business or VUP,Oral agreement,42.0,Urban,Kigali city,182000.0
22,Primary education,Elementary and other work,Services,Household,Oral agreement,42.0,Urban,Kigali city,20000.0
30,Lower secondary education,Agriculture,Agriculture,Private business or VUP,Oral agreement,7.0,Rural,Kigali city,31200.0
23,Primary education,Agriculture,Agriculture,Private business or VUP,Oral agreement,12.0,Rural,Kigali city,39000.0
19,Primary education,Agriculture,Agriculture,Private business or VUP,Oral agreement,20.0,Rural,Kigali city,26000.0
21,Primary education,Elementary and other work,Industry,Private business or VUP,Oral agreement,48.0,Rural,Kigali city,65000.0
21,Primary education,Sales and services,Services,Private business or VUP,Oral agreement,72.0,Urban,Kigali city,40000.0
23,Lower secondary education,Elementary and other work,Services,Household,Oral agreement,40.0,Urban,Kigali city,15000.0
27,Primary education,Agriculture,Agriculture,Private business or VUP,Oral agreement,36.0,Rural,Kigali city,39000.0
24,Primary education,Skilled trades and operators,Industry,Private business or VUP,Oral agreement,28.0,Rural,Kigali city,86666.664
28,Tertiary education,"Business, management and office work",Services,Private business or VUP,Written contract,57.0,Urban,Kigali city,300000.0
18,Primary education,Elementary and other work,Services,Household,Oral agreement,35.0,Urban,Kigali city,25000.0
22,Lower secondary education,Elementary and other work,Services,Household,Oral agreement,35.0,Urban,Kigali city,30000.0
20,Upper secondary education,Elementary and other work,Services,Household,Oral agreement,65.0,Urban,Kigali city,135000.0
20,Lower secondary education,Elementary and other work,Services,Household,Oral agreement,42.0,Urban,Kigali city,30000.0
23,Lower secondary education,Elementary and other work,Services,Household,Oral agreement,63.0,Urban,Kigali city,30000.0
30,Upper secondary education,Sales and services,Services,Private business or VUP,Oral agreement,72.0,Urban,Kigali city,80000.0
25,Lower secondary education,Elementary and other work,Services,Household,Oral agreement,56.0,Urban,Kigali city,25000.0
18,Upper secondary education,Skilled trades and operators,Industry,Private business or VUP,Oral agreement,54.0,Urban,Kigali city,130000.0
22,Primary education,Elementary and other work,Services,Household,Oral agreement,28.0,Urban,Kigali city,15000.0
18,Primary education,Elementary and other work,Industry,Private business or VUP,Oral agreement,40.0,Urban,Kigali city,104000.0
17,Primary education,Elementary and other work,Services,Household,Oral agreement,35.0,Urban,Kigali city,15000.0
30,Upper secondary education,Elementary and other work,Services,Private business or VUP,Written contract,60.0,Urban,Kigali city,180000.0
21,Lower secondary education,Elementary and other work,Services,Household,Oral agreement,66.0,Urban,Kigali city,20000.0
16,Primary education,Agriculture,Agriculture,Private business or VUP,Oral agreement,21.0,Rural,Southern Province,31200.0
22,Primary education,Agriculture,Agriculture,Private business or VUP,Oral agreement,30.0,Rural,Southern Province,31200.0
22,Lower secondary education,Agriculture,Agriculture,Private business or VUP,Oral agreement,36.0,Rural,Southern Province,26000.0
21,Primary education,Agriculture,Agriculture,Private business or VUP,Oral agreement,35.0,Rural,Southern Province,52000.0
24,Primary education,Agriculture,Agriculture,Private business or VUP,Oral agreement,60.0,Rural,Southern Province,52000.0
26,Primary education,Elementary and other work,Industry,Private business or VUP,Oral agreement,54.0,Rural,Southern Province,39000.0
18,Primary education,Sales and services,Services,Private business or VUP,Oral agreement,63.0,Rural,Southern Province,14000.0
24,Primary education,Sales and services,Services,Private business or VUP,Oral agreement,36.0,Rural,Southern Province,26000.0
18,Primary education,Sales and services,Services,Private business or VUP,Oral agreement,63.0,Rural,Southern Province,12000.0
23,Lower secondary education,Sales and services,Services,Private business or VUP,Oral agreement,63.0,Rural,Southern Province,39000.0
21,Upper secondary education,Elementary and other work,Industry,Private business or VUP,Oral agreement,16.0,Rural,Southern Province,31200.0
19,Primary education,Agriculture,Agriculture,Private business or VUP,Oral agreement,36.0,Rural,Southern Province,26000.0
23,Primary education,Agriculture,Agriculture,Private business or VUP,Oral agreement,12.0,Rural,Southern Province,18200.0
19,Primary education,Agriculture,Agriculture,Private business or VUP,Oral agreement,6.0,Rural,Southern Province,18200.0
27,Primary education,Agriculture,Agriculture,Private business or VUP,Oral agreement,36.0,Rural,Southern Province,26000.0
17,Primary education,Agriculture,Agriculture,Private business or VUP,Written contract,84.0,Rural,Southern Province,15000.0
26,Primary education,Elementary and other work,Services,Private business or VUP,Oral agreement,20.0,Rural,Southern Province,31200.0
19,Primary education,Elementary and other work,Industry,Private business or VUP,Oral agreement,56.0,Rural,Southern Province,65000.0
20,Primary education,Elementary and other work,Services,Private business or VUP,Oral agreement,6.0,Rural,Southern Province,52000.0
